\LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HUR,MEN,PC_LF,M,2020-08,8.3,
USA,HUR,MEN,PC_LF,M,2020-09,7.7,
USA,HUR,MEN,PC_LF,M,2020-10,7,
USA,HUR,MEN,PC_LF,M,2020-11,6.9,
USA,HUR,MEN,PC_LF,M,2020-12,6.7,
USA,HUR,MEN,PC_LF,M,2021-01,6.4,
USA,HUR,MEN,PC_LF,M,2021-02,6.3,
USA,HUR,MEN,PC_LF,M,2021-03,6.2,
USA,HUR,MEN,PC_LF,M,2021-04,6.3,
USA,HUR,MEN,PC_LF,M,2021-05,6,
AUS,HUR,MEN,PC_LF,M,2005-01,4.916641,
AUS,HUR,MEN,PC_LF,M,2005-02,4.876721,
AUS,HUR,MEN,PC_LF,M,2005-03,4.87312,
AUS,HUR,MEN,PC_LF,M,2005-04,4.932728,
AUS,HUR,MEN,PC_LF,M,2005-05,4.898378,
AUS,HUR,MEN,PC_LF,M,2005-06,4.751312,
AUS,HUR,MEN,PC_LF,M,2005-07,4.73724,
AUS,HUR,MEN,PC_LF,M,2005-08,4.878734,
AUS,HUR,MEN,PC_LF,M,2005-09,4.908883,
AUS,HUR,MEN,PC_LF,M,2005-10,4.945594,
AUS,HUR,MEN,PC_LF,M,2005-11,4.945561,
AUS,HUR,MEN,PC_LF,M,2005-12,5.05355,
AUS,HUR,MEN,PC_LF,M,2006-01,5.107868,
AUS,HUR,MEN,PC_LF,M,2006-02,5.076463,
AUS,HUR,MEN,PC_LF,M,2006-03,4.8149,
AUS,HUR,MEN,PC_LF,M,2006-04,4.795443,
AUS,HUR,MEN,PC_LF,M,2006-05,4.705348,
AUS,HUR,MEN,PC_LF,M,2006-06,4.6724,
AUS,HUR,MEN,PC_LF,M,2006-07,4.634361,
AUS,HUR,MEN,PC_LF,M,2006-08,4.622223,
AUS,HUR,MEN,PC_LF,M,2006-09,4.639777,
AUS,HUR,MEN,PC_LF,M,2006-10,4.332749,
AUS,HUR,MEN,PC_LF,M,2006-11,4.392766,
AUS,HUR,MEN,PC_LF,M,2006-12,4.253466,
AUS,HUR,MEN,PC_LF,M,2007-01,4.307141,
AUS,HUR,MEN,PC_LF,M,2007-02,4.284101,
AUS,HUR,MEN,PC_LF,M,2007-03,4.09886,
AUS,HUR,MEN,PC_LF,M,2007-04,4.024466,
AUS,HUR,MEN,PC_LF,M,2007-05,3.893318,
AUS,HUR,MEN,PC_LF,M,2007-06,3.942584,
AUS,HUR,MEN,PC_LF,M,2007-07,3.863145,
AUS,HUR,MEN,PC_LF,M,2007-08,3.965535,
AUS,HUR,MEN,PC_LF,M,2007-09,3.816305,
AUS,HUR,MEN,PC_LF,M,2007-10,3.993564,
AUS,HUR,MEN,PC_LF,M,2007-11,4.172777,
AUS,HUR,MEN,PC_LF,M,2007-12,4.210592,
AUS,HUR,MEN,PC_LF,M,2008-01,3.792856,
AUS,HUR,MEN,PC_LF,M,2008-02,3.615839,
AUS,HUR,MEN,PC_LF,M,2008-03,3.910898,
AUS,HUR,MEN,PC_LF,M,2008-04,4.066695,
AUS,HUR,MEN,PC_LF,M,2008-05,4.01868,
AUS,HUR,MEN,PC_LF,M,2008-06,3.958662,
AUS,HUR,MEN,PC_LF,M,2008-07,3.818419,
AUS,HUR,MEN,PC_LF,M,2008-08,3.715493,
AUS,HUR,MEN,PC_LF,M,2008-09,4.028946,
AUS,HUR,MEN,PC_LF,M,2008-10,3.980515,
AUS,HUR,MEN,PC_LF,M,2008-11,4.146233,
AUS,HUR,MEN,PC_LF,M,2008-12,4.602925,
AUS,HUR,MEN,PC_LF,M,2009-01,5.028566,
AUS,HUR,MEN,PC_LF,M,2009-02,5.262288,
AUS,HUR,MEN,PC_LF,M,2009-03,5.761965,
AUS,HUR,MEN,PC_LF,M,2009-04,5.69782,
AUS,HUR,MEN,PC_LF,M,2009-05,6.180372,
AUS,HUR,MEN,PC_LF,M,2009-06,6.154612,
AUS,HUR,MEN,PC_LF,M,2009-07,5.999279,
AUS,HUR,MEN,PC_LF,M,2009-08,5.83734,
AUS,HUR,MEN,PC_LF,M,2009-09,5.722363,
AUS,HUR,MEN,PC_LF,M,2009-10,5.717674,
AUS,HUR,MEN,PC_LF,M,2009-11,5.688844,
AUS,HUR,MEN,PC_LF,M,2009-12,5.568275,
AUS,HUR,MEN,PC_LF,M,2010-01,5.21705,
AUS,HUR,MEN,PC_LF,M,2010-02,5.331532,
AUS,HUR,MEN,PC_LF,M,2010-03,5.535239,
AUS,HUR,MEN,PC_LF,M,2010-04,5.459436,
AUS,HUR,MEN,PC_LF,M,2010-05,5.233111,
AUS,HUR,MEN,PC_LF,M,2010-06,5.066784,
AUS,HUR,MEN,PC_LF,M,2010-07,5.131025,
AUS,HUR,MEN,PC_LF,M,2010-08,4.728622,
AUS,HUR,MEN,PC_LF,M,2010-09,4.870547,
AUS,HUR,MEN,PC_LF,M,2010-10,5.035344,
AUS,HUR,MEN,PC_LF,M,2010-11,4.723515,
AUS,HUR,MEN,PC_LF,M,2010-12,4.594884,
AUS,HUR,MEN,PC_LF,M,2011-01,4.705388,
AUS,HUR,MEN,PC_LF,M,2011-02,4.808692,
AUS,HUR,MEN,PC_LF,M,2011-03,4.580997,
AUS,HUR,MEN,PC_LF,M,2011-04,4.882434,
AUS,HUR,MEN,PC_LF,M,2011-05,4.746789,
AUS,HUR,MEN,PC_LF,M,2011-06,4.693548,
AUS,HUR,MEN,PC_LF,M,2011-07,4.924408,
AUS,HUR,MEN,PC_LF,M,2011-08,5.238352,
AUS,HUR,MEN,PC_LF,M,2011-09,5.127776,
AUS,HUR,MEN,PC_LF,M,2011-10,5.201642,
AUS,HUR,MEN,PC_LF,M,2011-11,5.100208,
AUS,HUR,MEN,PC_LF,M,2011-12,4.882033,
AUS,HUR,MEN,PC_LF,M,2012-01,4.883063,
AUS,HUR,MEN,PC_LF,M,2012-02,5.085427,
AUS,HUR,MEN,PC_LF,M,2012-03,5.06342,
AUS,HUR,MEN,PC_LF,M,2012-04,4.897732,
AUS,HUR,MEN,PC_LF,M,2012-05,4.964256,
AUS,HUR,MEN,PC_LF,M,2012-06,4.890568,
AUS,HUR,MEN,PC_LF,M,2012-07,5.132438,
AUS,HUR,MEN,PC_LF,M,2012-08,5.253261,
AUS,HUR,MEN,PC_LF,M,2012-09,5.667279,
AUS,HUR,MEN,PC_LF,M,2012-10,5.310709,
AUS,HUR,MEN,PC_LF,M,2012-11,5.278984,
AUS,HUR,MEN,PC_LF,M,2012-12,5.393707,
AUS,HUR,MEN,PC_LF,M,2013-01,5.419498,
AUS,HUR,MEN,PC_LF,M,2013-02,5.417055,
AUS,HUR,MEN,PC_LF,M,2013-03,5.723904,
AUS,HUR,MEN,PC_LF,M,2013-04,5.57987,
AUS,HUR,MEN,PC_LF,M,2013-05,5.610408,
AUS,HUR,MEN,PC_LF,M,2013-06,5.737399,
AUS,HUR,MEN,PC_LF,M,2013-07,5.69215,
AUS,HUR,MEN,PC_LF,M,2013-08,5.904243,
AUS,HUR,MEN,PC_LF,M,2013-09,5.710297,
AUS,HUR,MEN,PC_LF,M,2013-10,5.945111,
AUS,HUR,MEN,PC_LF,M,2013-11,5.909913,
AUS,HUR,MEN,PC_LF,M,2013-12,6.047332,
AUS,HUR,MEN,PC_LF,M,2014-01,5.890851,
AUS,HUR,MEN,PC_LF,M,2014-02,5.817953,
AUS,HUR,MEN,PC_LF,M,2014-03,5.667102,
AUS,HUR,MEN,PC_LF,M,2014-04,5.811561,
AUS,HUR,MEN,PC_LF,M,2014-05,5.811316,
AUS,HUR,MEN,PC_LF,M,2014-06,6.051878,
AUS,HUR,MEN,PC_LF,M,2014-07,6.148708,
AUS,HUR,MEN,PC_LF,M,2014-08,6.053565,
AUS,HUR,MEN,PC_LF,M,2014-09,6.048126,
AUS,HUR,MEN,PC_LF,M,2014-10,6.238873,
AUS,HUR,MEN,PC_LF,M,2014-11,6.322839,
AUS,HUR,MEN,PC_LF,M,2014-12,5.999352,
AUS,HUR,MEN,PC_LF,M,2015-01,6.414879,
AUS,HUR,MEN,PC_LF,M,2015-02,6.180249,
AUS,HUR,MEN,PC_LF,M,2015-03,6.104223,
AUS,HUR,MEN,PC_LF,M,2015-04,6.159721,
AUS,HUR,MEN,PC_LF,M,2015-05,5.952009,
AUS,HUR,MEN,PC_LF,M,2015-06,5.991426,
AUS,HUR,MEN,PC_LF,M,2015-07,6.005251,
AUS,HUR,MEN,PC_LF,M,2015-08,6.128653,
AUS,HUR,MEN,PC_LF,M,2015-09,6.158474,
AUS,HUR,MEN,PC_LF,M,2015-10,5.918671,
AUS,HUR,MEN,PC_LF,M,2015-11,5.735318,
AUS,HUR,MEN,PC_LF,M,2015-12,5.621418,
AUS,HUR,MEN,PC_LF,M,2016-01,6.079974,
AUS,HUR,MEN,PC_LF,M,2016-02,5.629547,
AUS,HUR,MEN,PC_LF,M,2016-03,5.677734,
AUS,HUR,MEN,PC_LF,M,2016-04,5.609692,
AUS,HUR,MEN,PC_LF,M,2016-05,5.674063,
AUS,HUR,MEN,PC_LF,M,2016-06,5.400045,
AUS,HUR,MEN,PC_LF,M,2016-07,5.494084,
AUS,HUR,MEN,PC_LF,M,2016-08,5.564913,
AUS,HUR,MEN,PC_LF,M,2016-09,5.567931,
AUS,HUR,MEN,PC_LF,M,2016-10,5.530663,
AUS,HUR,MEN,PC_LF,M,2016-11,5.676205,
AUS,HUR,MEN,PC_LF,M,2016-12,5.821303,
AUS,HUR,MEN,PC_LF,M,2017-01,5.581673,
AUS,HUR,MEN,PC_LF,M,2017-02,5.82036,
AUS,HUR,MEN,PC_LF,M,2017-03,5.753856,
AUS,HUR,MEN,PC_LF,M,2017-04,5.402689,
AUS,HUR,MEN,PC_LF,M,2017-05,5.492258,
AUS,HUR,MEN,PC_LF,M,2017-06,5.50196,
AUS,HUR,MEN,PC_LF,M,2017-07,5.521173,
AUS,HUR,MEN,PC_LF,M,2017-08,5.461576,
AUS,HUR,MEN,PC_LF,M,2017-09,5.377288,
AUS,HUR,MEN,PC_LF,M,2017-10,5.222825,
AUS,HUR,MEN,PC_LF,M,2017-11,5.37067,
AUS,HUR,MEN,PC_LF,M,2017-12,5.682903,
AUS,HUR,MEN,PC_LF,M,2018-01,5.457358,
AUS,HUR,MEN,PC_LF,M,2018-02,5.58014,
AUS,HUR,MEN,PC_LF,M,2018-03,5.543852,
AUS,HUR,MEN,PC_LF,M,2018-04,5.627554,
AUS,HUR,MEN,PC_LF,M,2018-05,5.366679,
AUS,HUR,MEN,PC_LF,M,2018-06,5.448389,
AUS,HUR,MEN,PC_LF,M,2018-07,5.285181,
AUS,HUR,MEN,PC_LF,M,2018-08,5.158208,
AUS,HUR,MEN,PC_LF,M,2018-09,4.786887,
AUS,HUR,MEN,PC_LF,M,2018-10,4.942357,
AUS,HUR,MEN,PC_LF,M,2018-11,5.152571,
AUS,HUR,MEN,PC_LF,M,2018-12,4.942576,
AUS,HUR,MEN,PC_LF,M,2019-01,4.970075,
AUS,HUR,MEN,PC_LF,M,2019-02,5.033662,
AUS,HUR,MEN,PC_LF,M,2019-03,5.149131,
AUS,HUR,MEN,PC_LF,M,2019-04,5.295886,
AUS,HUR,MEN,PC_LF,M,2019-05,5.261528,
AUS,HUR,MEN,PC_LF,M,2019-06,5.169583,
AUS,HUR,MEN,PC_LF,M,2019-07,5.175815,
AUS,HUR,MEN,PC_LF,M,2019-08,5.273252,
AUS,HUR,MEN,PC_LF,M,2019-09,5.314949,
AUS,HUR,MEN,PC_LF,M,2019-10,5.407518,
AUS,HUR,MEN,PC_LF,M,2019-11,5.249228,
AUS,HUR,MEN,PC_LF,M,2019-12,5.200784,
AUS,HUR,MEN,PC_LF,M,2020-01,5.401025,
AUS,HUR,MEN,PC_LF,M,2020-02,5.323681,
AUS,HUR,MEN,PC_LF,M,2020-03,5.366933,
AUS,HUR,MEN,PC_LF,M,2020-04,6.736491,
AUS,HUR,MEN,PC_LF,M,2020-05,7.104446,
AUS,HUR,MEN,PC_LF,M,2020-06,7.400035,
AUS,HUR,MEN,PC_LF,M,2020-07,7.38954,
AUS,HUR,MEN,PC_LF,M,2020-08,6.928771,
AUS,HUR,MEN,PC_LF,M,2020-09,7.031411,
AUS,HUR,MEN,PC_LF,M,2020-10,6.904931,
AUS,HUR,MEN,PC_LF,M,2020-11,6.571594,
AUS,HUR,MEN,PC_LF,M,2020-12,6.641261,
AUS,HUR,MEN,PC_LF,M,2021-01,6.524589,
AUS,HUR,MEN,PC_LF,M,2021-02,6.171963,
AUS,HUR,MEN,PC_LF,M,2021-03,5.989714,
